code,libelle_officiel,chapitre,forme_rendue,forme_source,source,signal,proposition,motif,version_regle
K81.0,Cholécystite aigüe,XI,sphacèle vésiculaire,sphacèle vésiculaire,CepiDc 2015,sonde:sphacèle+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
L60.3,Dystrophie des ongles,XII,ramollissement de l'ongle,"Ramollissement (de), ongle",CIM-10 index,sonde:ramollissement+isolement,garder,sens propre vivant (hapalonychie — ramollissement unguéal),v1
N64.5,Autres signes et symptômes observés au niveau du sein,XIV,engorgement du sein,Engorgement du sein,CIM-10 index,sonde:engorgement+isolement,garder,engorgement mammaire/lymphatique : usage clinique vivant,v1
O45.9,"Décollement prématuré du placenta, sans précision",XV,apoplexie utéro-placentaire,apoplexie utéro-placentaire,CepiDc 2015,sonde:apoplexie+isolement,garder,apoplexie utéro-placentaire : dénomination vivante (syndrome de Couvelaire),v1
O85,Sepsis puerpéral,XV,fièvre puerpérale,"Fièvre (de) (des) (due à), puerpérale (infection grave)",CIM-10 index,sonde:fièvre puerpérale+isolement,garder,fièvre puerpérale : libellé officiel vivant (O85),v1
P02.1,Fœtus et nouveau-né affectés par d'autres formes de décollement et d'hémorragie placentaires,XVI,apoplexie utéro-placentaire,apoplexie utéro-placentaire,CepiDc 2015,sonde:apoplexie+isolement,garder,apoplexie utéro-placentaire : dénomination vivante (syndrome de Couvelaire),v1
P83.2,Anasarque fœtoplacentaire non due à une maladie hémolytique,XVI,hydropisie foetus,"Hydropisie, foetus",CIM-10 index,sonde:hydropisie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
P83.4,Engorgement du sein chez le nouveau-né,XVI,engorgement du sein nouveau-né,"Engorgement du sein, nouveau-né",CIM-10 index,sonde:engorgement+isolement,garder,engorgement mammaire/lymphatique : usage clinique vivant,v1
P91.0,Ischémie cérébrale du nouveau-né,XVI,ramollissement encéphalique périnatal,ramollissement encéphalique périnatal,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
P91.0,Ischémie cérébrale du nouveau-né,XVI,ramollissement ischémique diffus,ramollissement ischémique diffus,CepiDc 2015,sonde:ramollissement+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
Q82.5,Nævus congénital non néoplasique,XVII,Tache mongolique,Tache mongolique,AP-HP Dermatologie,sonde:mongolisme,garder,tache/naevus mongolien : terme dermatologique classique (mélanocytose dermique),v1
Q90.9,"Syndrome de Down, sans précision",XVII,Mongolisme,Mongolisme,AP-HP Dermatologie,sonde:mongolisme,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
Q90.9,"Syndrome de Down, sans précision",XVII,Trisomie 21 (mongolisme),Trisomie 21 (mongolisme),AP-HP Dermatologie,sonde:mongolisme,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
Q90.9,"Syndrome de Down, sans précision",XVII,mongolien,mongolien,CepiDc 2015,sonde:mongolisme+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R02,"Gangrène, non classée ailleurs",XVIII,sphacèle orteil,sphacèle orteil,CepiDc 2015,sonde:sphacèle+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R09.2,Arrêt respiratoire,XVIII,ictus cardio-respiratoire,ictus cardio-respiratoire,CepiDc 2015,sonde:ictus+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R15,Incontinence des matières fécales,XVIII,gâtisme,gâtisme,CepiDc 2015,sonde:gâtisme+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R41.8,"Symptômes et signes relatifs aux fonctions cognitives et à la conscience, autres et non précisés",XVIII,sénilité précoce,sénilité précoce,CepiDc 2015,sonde:sénilité+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R60.1,Œdème généralisé,XVIII,hydropisie,Hydropisie,CIM-10 index,sonde:hydropisie+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R63.4,Perte de poids anormale,XVIII,consomption,consomption,CepiDc 2015,sonde:consomption+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R63.4,Perte de poids anormale,XVIII,consomption terminale,consomption terminale,CepiDc 2015,sonde:consomption+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R64,Cachexie,XVIII,misère physiologique,misère physiologique,CepiDc 2015,sonde:misère physiologique+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R64,Cachexie,XVIII,misère physiologique ancienne,misère physiologique ancienne,CepiDc 2015,sonde:misère physiologique+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R64,Cachexie,XVIII,misère physiologique extrême,misère physiologique extrême,CepiDc 2015,sonde:misère physiologique+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
R64,Cachexie,XVIII,état misère physiologique,état misère physiologique,CepiDc 2015,sonde:misère physiologique+isolement,ecarter,registre archaïque (certificat de décès / terminologie désuète),v1
